2023-11-03 13:34:39 status half-configured linux-image-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:34:40 status unpacked linux-image-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:34:40 status half-installed linux-image-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:34:43 status unpacked linux-image-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:34:45 install linux-hwe-6.2-headers-6.2.0-36:all <none> 6.2.0-36.37~22.04.1
2023-11-03 13:34:45 status half-installed linux-hwe-6.2-headers-6.2.0-36:all 6.2.0-36.37~22.04.1
2023-11-03 13:37:12 status unpacked linux-hwe-6.2-headers-6.2.0-36:all 6.2.0-36.37~22.04.1
2023-11-03 13:37:16 install linux-headers-6.2.0-36-generic:amd64 <none> 6.2.0-36.37~22.04.1
2023-11-03 13:37:16 status half-installed linux-headers-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:37:43 status unpacked linux-headers-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:37:44 upgrade linux-headers-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13 6.2.0.36.37~22.04.14
2023-11-03 13:37:44 status half-configured linux-headers-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:37:44 status unpacked linux-headers-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:37:45 status half-installed linux-headers-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:37:46 status unpacked linux-headers-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:37:48 startup packages configure
2023-11-03 13:37:48 configure linux-modules-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1 <none>
2023-11-03 13:37:48 status unpacked linux-modules-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:37:48 status half-configured linux-modules-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:37:57 status installed linux-modules-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:37:57 configure linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1 <none>
2023-11-03 13:37:57 status unpacked linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:37:57 status half-configured linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:06 status installed linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:06 status triggers-pending linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:06 configure linux-hwe-6.2-headers-6.2.0-36:all 6.2.0-36.37~22.04.1 <none>
2023-11-03 13:38:06 status unpacked linux-hwe-6.2-headers-6.2.0-36:all 6.2.0-36.37~22.04.1
2023-11-03 13:38:06 status half-configured linux-hwe-6.2-headers-6.2.0-36:all 6.2.0-36.37~22.04.1
2023-11-03 13:38:06 status installed linux-hwe-6.2-headers-6.2.0-36:all 6.2.0-36.37~22.04.1
2023-11-03 13:38:07 configure linux-headers-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1 <none>
2023-11-03 13:38:07 status unpacked linux-headers-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:07 status half-configured linux-headers-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:07 status installed linux-headers-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:07 configure linux-modules-extra-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1 <none>
2023-11-03 13:38:07 status unpacked linux-modules-extra-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:08 status half-configured linux-modules-extra-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:14 status installed linux-modules-extra-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:38:14 configure linux-headers-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14 <none>
2023-11-03 13:38:14 status unpacked linux-headers-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:15 status half-configured linux-headers-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:15 status installed linux-headers-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:15 configure linux-image-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14 <none>
2023-11-03 13:38:15 status unpacked linux-image-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:15 status half-configured linux-image-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:15 status installed linux-image-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:16 configure linux-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14 <none>
2023-11-03 13:38:16 status unpacked linux-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:16 status half-configured linux-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:16 status installed linux-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:38:16 trigproc linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1 <none>
2023-11-03 13:38:16 status half-configured linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:40:39 status installed linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:40:54 startup archives unpack
2023-11-03 13:40:54 upgrade linux-libc-dev:amd64 5.15.0-87.97 5.15.0-88.98
2023-11-03 13:40:54 status half-configured linux-libc-dev:amd64 5.15.0-87.97
2023-11-03 13:40:55 status unpacked linux-libc-dev:amd64 5.15.0-87.97
2023-11-03 13:40:55 status half-installed linux-libc-dev:amd64 5.15.0-87.97
2023-11-03 13:41:02 status unpacked linux-libc-dev:amd64 5.15.0-88.98
2023-11-03 13:41:04 startup packages configure
2023-11-03 13:41:04 configure linux-libc-dev:amd64 5.15.0-88.98 <none>
2023-11-03 13:41:04 status unpacked linux-libc-dev:amd64 5.15.0-88.98
2023-11-03 13:41:04 status half-configured linux-libc-dev:amd64 5.15.0-88.98
2023-11-03 13:41:04 status installed linux-libc-dev:amd64 5.15.0-88.98
2023-11-03 13:41:12 startup archives unpack
2023-11-03 13:41:13 upgrade mysql-client-8.0:amd64 8.0.34-0ubuntu0.22.04.1 8.0.35-0ubuntu0.22.04.1
2023-11-03 13:41:13 status half-configured mysql-client-8.0:amd64 8.0.34-0ubuntu0.22.04.1
2023-11-03 13:41:13 status unpacked mysql-client-8.0:amd64 8.0.34-0ubuntu0.22.04.1
2023-11-03 13:41:14 status half-installed mysql-client-8.0:amd64 8.0.34-0ubuntu0.22.04.1
2023-11-03 13:41:14 status triggers-pending man-db:amd64 2.10.2-1
2023-11-03 13:41:17 status unpacked mysql-client-8.0:amd64 8.0.35-0ubuntu0.22.04.1
2023-11-03 13:41:17 startup packages configure
2023-11-03 13:41:17 configure mysql-client-8.0:amd64 8.0.35-0ubuntu0.22.04.1 <none>
